12003	88
9003	10868
41003	1138
41005	2868
41007	933
41009	192
41011	270
41013	64
41015	145
41017	1908
41019	748
41021	11
41023	18
41025	17
41027	324
41029	1147
41031	182
41033	416
41035	322
41037	30
41039	4450
41041	788
41043	1174
41045	5
41047	3287
41049	54
41051	44005
41053	461
41055	13
41057	325
41059	324
41061	107
41063	47
41065	183
41067	5744
41069	13
41071	590
40045	32
9007	1734
12009	4552
6057	5322
40055	46
33001	684
22103	2541
33003	573
33005	511
33007	183
33009	1037
33011	3798
33013	1194
33015	3264
33017	1176
33019	147
13095	1473
12011	34593
56027	8
12013	52
31099	28
13105	52
20199	11
32027	34
13107	200
31111	337
25001	3880
25003	1620
25005	5448
25007	851
25009	9095
25011	466
25013	6273
25015	1770
25017	22572
25019	671
25021	7125
25023	4992
21019	379
25025	35287
25027	11686
13109	10
19193	1208
21021	267
9005	1356
6059	64517
8053	15
13111	231
13097	2468
21023	89
46049	8
13113	1105
40119	1361
17001	131
17003	36
17005	66
17007	476
17009	20
17011	102
17013	2
17015	47
17017	20
17019	1718
17021	136
17023	95
17025	10
17027	201
48031	140
17029	274
17031	113385
17033	133
17035	45
17037	611
17039	36
17041	232
17043	10772
17045	96
17047	8
17049	208
17051	106
17053	69
17055	197
17057	111
17059	4
17061	18
17063	485
17065	3
17067	27
17069	4
17071	8
17073	356
17075	882
17077	426
17079	10
17081	249
17083	128
17085	148
17087	35
17089	5238
17091	1332
32029	4785
17093	1190
17095	143
17097	6811
17099	1053
17101	30
17103	290
17105	135
17107	203
17109	125
17111	3801
17113	1249
17115	467
17117	380
17119	2247
17121	176
17123	40
17125	46
17127	60
17129	494
17131	71
17133	379
17135	136
17137	122
17139	58
17141	205
17143	2465
17145	94
17147	64
17149	34
17151	39
17153	23
17155	81
17157	78
17159	54
17161	1032
17163	1764
31123	9
17165	50
17167	2561
17169	13
17171	93
17173	67
17175	6
17177	276
17179	1276
17181	75
17183	1016
17185	37
17187	80
17189	39
17191	55
17193	95
48507	310
17195	130
17197	9484
17199	538
17201	3362
9011	5990
9013	1148
9015	1065
50001	185
50003	353
50005	128
50007	2345
50009	51
50011	684
50013	14654
50015	440
50017	107
50019	653
50021	381
50023	500
50025	552
50027	342
21035	677
39039	239
22127	59
40131	605
21037	1155
1001	430
1003	4186
1005	106
1007	297
32031	34
1009	447
1011	12
1013	98
1015	762
1017	158
1019	2365
1021	235
1023	348
1025	98
1027	78
1029	73
1031	195
1033	699
1035	81
1037	23
1039	522
1041	54
1043	437
1045	183
1047	491
42009	259
1051	713
42013	899
1055	638
1057	35
1059	93
1061	38
42023	14
42025	635
1067	61
1069	817
42031	117
42033	285
1075	53
42037	468
42039	437
42041	3807
1083	1058
1085	57
40135	525
1087	113
42049	8647
42051	1011
42053	13
1095	801
1097	6264
1099	52
42061	89
42063	472
42065	148
42067	241
1109	294
1111	173
1113	311
1115	454
1117	1976
1119	246
1121	349
1123	279
1125	3176
1127	815
1129	100
1131	5
1133	184
42095	3202
42097	645
42099	142
42101	52092
42103	668
42105	21
40137	333
42107	790
42109	144
42111	320
42113	35
42115	78
42117	158
42119	261
42121	439
42123	104
42125	2380
42127	312
42129	2542
42131	90
42133	4100
39047	169
22043	127
6041	4821
40139	113
34001	6443
34003	15198
34005	5637
34007	7070
34009	5744
34011	1015
34013	16379
34015	4045
34017	14586
34019	1139
46127	71
34021	4796
34023	9947
34025	14760
34027	5554
34029	10386
34031	5047
34033	509
34035	3739
34037	914
34039	7794
34041	1061
48127	402
48003	58
39051	273
32033	80
6045	1443
48007	361
40053	27
8055	88
6047	3006
40145	536
48019	121
6065	28203
26001	589
26003	96
26005	369
26007	88
26009	232
26011	102
26013	8
26015	288
26017	1817
26019	115
26021	1507
40147	370
26023	507
26025	1132
26027	493
26029	190
26031	229
26033	1677
26035	142
26037	682
26039	239
26041	284
26043	58
